epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,294.866,0.71011,0.61628,1.19968,0.95343,0.94286,0.98247,0.79728,0.73012,0.68756,1.29973,0.0011684,0.0011684,0.0011684
44,301.7,0.64596,0.60276,1.16105,0.91864,0.96791,0.97593,0.80006,0.67357,0.65759,1.26953,0.0011486,0.0011486,0.0011486
45,308.632,0.62434,0.61797,1.14415,0.96863,0.88231,0.96179,0.82632,0.63703,0.655,1.27366,0.0011288,0.0011288,0.0011288
46,315.458,0.69624,0.61599,1.17712,0.94477,0.94286,0.9716,0.80482,0.70993,0.71241,1.30346,0.001109,0.001109,0.001109
47,322.316,0.65171,0.59869,1.16362,0.97055,0.94147,0.96059,0.7343,0.8422,0.7336,1.43266,0.0010892,0.0010892,0.0010892
48,329.128,0.70416,0.60657,1.21175,0.99189,0.88571,0.95584,0.75706,0.7703,0.76695,1.36787,0.0010694,0.0010694,0.0010694
49,336.031,0.70378,0.62054,1.19562,1,0.82773,0.94673,0.75458,0.67828,0.63628,1.27448,0.0010496,0.0010496,0.0010496
50,343.066,0.68276,0.6154,1.1818,0.96825,0.88571,0.96701,0.80398,0.66189,0.59755,1.26547,0.0010298,0.0010298,0.0010298
51,350.385,0.70182,0.59511,1.21133,0.91352,0.94286,0.95913,0.82755,0.60726,0.61429,1.23029,0.00101,0.00101,0.00101
52,357.157,0.72565,0.68804,1.22211,0.94066,0.94286,0.9803,0.82447,0.5928,0.55695,1.20378,0.0009902,0.0009902,0.0009902
53,364.234,0.79405,1.12923,1.25756,0.97201,0.99218,0.99278,0.82343,0.56504,0.55772,1.16762,0.0009704,0.0009704,0.0009704
54,371.202,0.6262,0.59204,1.13911,0.96775,0.91429,0.98094,0.82084,0.62502,0.59213,1.22425,0.0009506,0.0009506,0.0009506
55,377.98,0.64639,0.60148,1.1349,1,0.90509,0.94416,0.82625,0.60814,0.54257,1.19111,0.0009308,0.0009308,0.0009308
56,384.577,0.62252,0.55845,1.15218,0.96944,0.90638,0.95749,0.8034,0.59684,0.57763,1.1608,0.000911,0.000911,0.000911
